First Name,Last Name,Email,Phone Number,Location,Profession,Company,Date,Price,Hardware,Amount
Brett,Wilkins,Kimberly.Brady@gmail.com,001-664-564-3449x864,Bhutan,Chartered accountant,Williams Inc,2025-06-18,4168,Laptop Intel Core i3,3
Claudia,Garcia,Trevor.George@gmail.com,001-998-362-7375x510,Qatar,Chiropractor,West-Fisher,2024-02-28,19,Laptop Intel Core i9,2
John,Hernandez,Rebecca.Smith@yahoo.com,853-512-2926x09617,Svalbard & Jan Mayen Islands,"Designer, exhibition/display","Dodson, Marsh and Sanders",2024-09-12,5573,Laptop Intel Core i7,6
Keith,Peters,Richard.Flowers@hotmail.com,001-280-577-1887x28083,Jordan,Armed forces operational officer,Nelson-Coleman,2025-07-05,5728,Laptop Intel Core i4,7
Richard,Gilbert,Scott.Harris@hotmail.com,(806)863-3963x0007,United States Virgin Islands,Retail merchandiser,Glenn Group,2024-01-17,8066,Laptop Intel Core i8,9
Courtney,Miller,Amanda.Norris@gmail.com,9729310683,Argentina,Patent examiner,Harris Ltd,2025-07-26,8182,Laptop Intel Core i9,2
Dylan,Leon,Jennifer.Smith@hotmail.com,342-973-7093,Slovakia (Slovak Republic),Commercial horticulturist,Le Inc,2024-09-08,8634,Laptop Intel Core i3,3
Anna,Brown,Anthony.Weber@hotmail.com,852.479.2239x891,Iran,Water engineer,Sanchez-Parker,2024-10-27,106,Laptop Intel Core i2,7
Stephen,Marquez,Linda.Lopez@gmail.com,001-573-984-9890x9265,Andorra,Office manager,Garcia-Johnson,2024-07-23,7243,Laptop Intel Core i1,1
Megan,Jones,Sharon.Miller@hotmail.com,001-729-379-7907x80958,Tuvalu,Optometrist,Hodge-Russo,2025-02-16,3430,Laptop Intel Core i6,2
David,Moore,Paul.Carter@yahoo.com,963-573-1986x4014,Latvia,Actuary,"Williams, Meyer and Kennedy",2024-07-06,3442,Laptop Intel Core i2,9
Christina,Lowe,Alex.Shah@gmail.com,+1-428-450-4606x2605,Sao Tome and Principe,Medical sales representative,"Reyes, Evans and Sharp",2024-11-18,3379,Laptop Intel Core i1,1
Leonard,Jackson,John.Campbell@hotmail.com,(884)900-3418x3216,Suriname,Hospital pharmacist,Castro-Brown,2024-10-06,4644,Laptop Intel Core i4,6
David,English,Daniel.Clark@yahoo.com,721.356.3398,Belgium,Land,Mcdonald-Fisher,2024-09-16,1236,Laptop Intel Core i6,9
Robert,White,Kenneth.Vaughn@yahoo.com,+1-718-821-5905,Mozambique,Patent examiner,"Black, Duffy and Rodriguez",2024-04-25,6522,Laptop Intel Core i9,1
Catherine,Clark,Elizabeth.Chen@yahoo.com,983.669.1477x0534,Cocos (Keeling) Islands,Minerals surveyor,"Mitchell, Rogers and Shields",2024-06-02,2990,Laptop Intel Core i1,5
Sharon,Blake,Tammy.Fischer@yahoo.com,395-207-1296x7656,Yemen,Gaffer,Bray Inc,2025-08-30,148,Laptop Intel Core i1,1
Robert,Jackson,James.Malone@gmail.com,001-251-986-8116x996,Vietnam,Hospital doctor,Woodard PLC,2024-07-10,4181,Laptop Intel Core i4,1
Timothy,Morrison,Taylor.Trevino@hotmail.com,+1-872-457-3947x8654,Gibraltar,Sub,Miller and Sons,2025-08-12,6948,Laptop Intel Core i9,4
Michael,Mendez,James.Bradley@gmail.com,001-276-689-0544x19618,Saint Pierre and Miquelon,Financial adviser,"Glover, Clark and Spencer",2023-11-27,2098,Laptop Intel Core i8,7
Tamara,Smith,Daniel.Lester@gmail.com,924.640.9771x46300,Slovenia,Publishing rights manager,"Lopez, White and Johnson",2025-11-01,5592,Laptop Intel Core i9,8
Anthony,Nelson,Frank.Flores@hotmail.com,+1-465-233-4835x516,Bulgaria,Site engineer,Horne Ltd,2025-03-06,7665,Laptop Intel Core i8,4
Brandon,Brown,Erica.Jones@yahoo.com,617.495.4790x9258,French Guiana,Music tutor,Bailey-Ford,2024-09-21,2771,Laptop Intel Core i4,1
Gary,Mcdonald,Victoria.Charles@gmail.com,+1-792-205-2518x9875,Cote d'Ivoire,Acupuncturist,"Holmes, Barnes and Phillips",2024-03-10,4116,Laptop Intel Core i9,0
Victoria,Richards,Jennifer.Nguyen@gmail.com,801-697-2262,Russian Federation,"Engineer, production","Reese, Hunt and Rios",2023-11-16,751,Laptop Intel Core i7,3
Glenda,Key,Jenny.Webster@yahoo.com,+1-584-737-0648x15577,Taiwan,Conference centre manager,Eaton-Rowe,2025-03-31,4316,Laptop Intel Core i4,5
Patrick,Peterson,Matthew.Wiley@gmail.com,965.369.1970x118,Djibouti,Armed forces operational officer,Benjamin Group,2024-01-18,7508,Laptop Intel Core i7,8
Joshua,Johnson,Angela.Robinson@yahoo.com,+1-808-545-1942x9288,Brunei Darussalam,"Editor, commissioning","Cross, English and King",2025-02-07,9206,Laptop Intel Core i9,7
James,Green,Christine.Howard@yahoo.com,2352309153,Finland,Arts administrator,Wright Inc,2025-08-08,7287,Laptop Intel Core i3,5
Erica,Dougherty,Jacqueline.Cowan@hotmail.com,(959)238-5628x0453,Yemen,TEFL teacher,Anderson Group,2024-02-04,1528,Laptop Intel Core i2,4
Jason,Rhodes,Thomas.Turner@yahoo.com,+1-982-958-1717x1580,Faroe Islands,Technical author,"Smith, King and Olson",2024-11-20,7585,Laptop Intel Core i5,3
Kristen,Dixon,Bradley.Ellis@yahoo.com,+1-359-630-5832x381,Netherlands,Sports administrator,Krueger Inc,2025-01-07,8002,Laptop Intel Core i5,9
Sharon,Thomas,Oscar.Reeves@yahoo.com,(315)914-0287,Costa Rica,Sales promotion account executive,Price LLC,2024-05-22,2811,Laptop Intel Core i2,7
Aaron,Hays,Tanya.Hill@hotmail.com,704.982.0326,Zambia,Professor Emeritus,"Brady, Sosa and Rice",2024-10-26,4143,Laptop Intel Core i9,2
Douglas,Pacheco,Kenneth.Bradley@gmail.com,628-929-4494,Malaysia,Mining engineer,Yates PLC,2025-07-04,5942,Laptop Intel Core i2,7
Angela,Jenkins,Keith.Goodwin@yahoo.com,288-461-7497x97309,New Caledonia,Brewing technologist,Hale-Krause,2024-03-09,2247,Laptop Intel Core i3,1
Brett,Williams,Stacey.Hayes@yahoo.com,(360)736-6926x512,Pitcairn Islands,Probation officer,Greene-Rice,2024-02-27,3685,Laptop Intel Core i4,6
Mark,Miller,Kellie.Huang@hotmail.com,6382990139,Netherlands Antilles,Educational psychologist,"Bennett, Ortega and Hendricks",2025-08-31,6311,Laptop Intel Core i8,5
Mark,Davila,Sarah.Steele@yahoo.com,391-210-4996,Saint Kitts and Nevis,"Lecturer, higher education",Simmons-Owen,2025-11-09,4689,Laptop Intel Core i8,5
Zachary,Mason,Robert.Chapman@hotmail.com,8432955827,Namibia,"Lecturer, higher education","Robinson, Pineda and Moore",2024-08-06,7828,Laptop Intel Core i1,7
Eric,Horton,Richard.Wagner@hotmail.com,001-434-619-7898x906,Netherlands Antilles,"Radiographer, diagnostic","Quinn, Woods and Carey",2024-01-13,4649,Laptop Intel Core i1,1
Richard,Stone,Dawn.Barrett@hotmail.com,+1-457-281-3391x7435,Paraguay,Medical technical officer,Banks-Roman,2025-07-02,1973,Laptop Intel Core i6,6
Helen,Sullivan,Jason.Hunter@gmail.com,738-215-0834,Uganda,"Designer, interior/spatial",Shelton-Moore,2024-02-20,7932,Laptop Intel Core i5,9
Ernest,Taylor,Ana.Friedman@yahoo.com,(730)395-6540x6733,Namibia,Dancer,Harding Ltd,2024-10-30,5872,Laptop Intel Core i6,2
Edward,Beltran,Joshua.Hill@hotmail.com,+1-230-608-8251x8282,Botswana,Civil Service administrator,Thomas Inc,2024-02-08,2765,Laptop Intel Core i9,4
Laura,Morales,Elizabeth.Williams@yahoo.com,(706)875-9462x008,Grenada,International aid/development worker,Ross-Anderson,2025-10-15,1318,Laptop Intel Core i1,4
Brett,Graves,Gerald.Griffith@gmail.com,245-867-7833x00790,Latvia,Printmaker,Walls and Sons,2025-07-08,2087,Laptop Intel Core i2,2
Kayla,Peterson,Jessica.Mullins@yahoo.com,466.921.7946,Burundi,Sports therapist,"Johnson, Roberson and Padilla",2024-08-12,8439,Laptop Intel Core i8,8
Matthew,Woodward,Gabrielle.Miller@gmail.com,944-341-9689x3369,Togo,Geoscientist,"Schmidt, Ortiz and Merritt",2024-12-04,5990,Laptop Intel Core i8,3
Daniel,Willis,Travis.Hernandez@gmail.com,001-572-819-4537x68940,Samoa,Insurance broker,Scott Inc,2025-04-29,6551,Laptop Intel Core i4,9
Elizabeth,Ball,Margaret.Moore@hotmail.com,406-557-0664x1541,Sudan,Acupuncturist,Fitzgerald and Sons,2023-12-28,3366,Laptop Intel Core i4,0
David,Robinson,Marissa.Tyler@hotmail.com,(648)778-8582x0073,Italy,"Development worker, international aid","Butler, Green and Lee",2025-05-21,1655,Laptop Intel Core i3,7
Michael,Gilbert,Joyce.Jones@gmail.com,(416)985-1341x935,Timor-Leste,"Conservator, furniture",Howard LLC,2023-12-03,3458,Laptop Intel Core i6,1
Robert,Martinez,Samantha.Wallace@yahoo.com,842-776-6553x22271,Saint Vincent and the Grenadines,Medical laboratory scientific officer,Richard-Sanchez,2024-09-02,3224,Laptop Intel Core i8,9
Ronald,Ho,Matthew.Gutierrez@hotmail.com,684-485-5925,Malta,Arts administrator,"Nichols, Nolan and Solis",2024-04-13,6273,Laptop Intel Core i3,8
David,Schultz,George.Reid@hotmail.com,001-626-680-2206x9615,Tanzania,"Editor, commissioning",Hernandez-Jordan,2025-09-03,1531,Laptop Intel Core i5,1
Matthew,Estrada,Sarah.Martin@hotmail.com,+1-658-523-6311x859,Spain,Historic buildings inspector/conservation officer,Joyce-Tucker,2024-05-30,444,Laptop Intel Core i9,3
Colleen,Campbell,Robin.Wang@hotmail.com,(973)232-7800,Northern Mariana Islands,"Loss adjuster, chartered","Reynolds, Boone and Welch",2024-12-29,2882,Laptop Intel Core i9,9
Christina,Kim,Erica.Alexander@yahoo.com,+1-989-496-8017x9372,Canada,Insurance underwriter,Garcia Inc,2024-05-05,1146,Laptop Intel Core i4,7
Crystal,Ross,Regina.Anderson@hotmail.com,+1-582-565-6976x517,Peru,Actor,"Robbins, Gardner and Williams",2025-01-15,5679,Laptop Intel Core i1,0
Timothy,Day,Victor.Strong@yahoo.com,(677)628-2069,Grenada,Data scientist,Ingram PLC,2023-12-10,5494,Laptop Intel Core i6,9
Veronica,Martinez,Isabel.Schultz@yahoo.com,(490)524-0057,Kazakhstan,"Administrator, local government",Saunders-Bautista,2025-11-01,3710,Laptop Intel Core i4,8
David,Hamilton,Julie.Ramos@gmail.com,5964911913,Montserrat,Public librarian,"Flores, Bell and Long",2025-03-09,1804,Laptop Intel Core i8,5
Vincent,Brooks,Jason.Barnett@gmail.com,(524)854-8682,Fiji,Research scientist (medical),Roberson Ltd,2024-04-23,1614,Laptop Intel Core i1,1
Jordan,Bailey,Alicia.Joseph@gmail.com,902.676.3201x904,Kuwait,"Engineer, automotive",Davis LLC,2025-04-11,4564,Laptop Intel Core i6,8
Terrence,Dominguez,Joel.Richardson@yahoo.com,800-230-9066x78825,Mexico,Geophysical data processor,"Peters, Wallace and Romero",2025-11-09,9038,Laptop Intel Core i2,7
Juan,Patterson,Samantha.Martin@yahoo.com,001-232-378-2536x9538,Belarus,Theatre stage manager,Johnson-Harris,2024-02-24,8617,Laptop Intel Core i8,1
Kevin,Washington,Jeff.Hunt@hotmail.com,453.808.5795x967,Haiti,"Nurse, learning disability",Kim PLC,2025-03-14,7365,Laptop Intel Core i6,3
Sara,Johns,Brian.Gutierrez@yahoo.com,291.745.6310x8585,Lebanon,"Engineer, materials","Luna, Wolf and Brown",2025-09-02,4755,Laptop Intel Core i6,8
Gary,Castillo,Howard.Parsons@hotmail.com,001-266-201-3478x85990,American Samoa,"Therapist, speech and language",Smith Ltd,2024-01-29,6172,Laptop Intel Core i9,3
Rachel,Valdez,Kayla.Clark@yahoo.com,764.531.7950x6108,Ecuador,Ecologist,"Wallace, Michael and Bullock",2025-01-07,991,Laptop Intel Core i3,1
Kirsten,Lawson,Sherry.Moore@gmail.com,+1-228-730-4303x3941,Senegal,Records manager,Perez Inc,2024-05-21,1725,Laptop Intel Core i6,0
Brandi,West,Stephanie.Parker@gmail.com,894-582-0126x52961,Colombia,Communications engineer,"Sims, Brown and Russell",2024-01-21,9606,Laptop Intel Core i2,8
Hannah,Johnson,Christine.Martinez@yahoo.com,675-964-5211x323,Papua New Guinea,"Optician, dispensing",Jackson-Jones,2024-07-09,1214,Laptop Intel Core i8,0
Victoria,Adams,Amy.Lopez@gmail.com,222-664-9934,Colombia,Site engineer,Allison Group,2024-09-22,7664,Laptop Intel Core i7,8
Christine,Bradshaw,Sara.Jones@gmail.com,001-910-551-2236,Philippines,Mining engineer,Herman PLC,2024-08-18,8337,Laptop Intel Core i7,7
Samuel,Watkins,Trevor.Campbell@hotmail.com,9186793487,American Samoa,Immunologist,"Perez, Jenkins and Jackson",2023-11-30,7892,Laptop Intel Core i7,7
Clinton,Bass,Kaitlin.Valencia@yahoo.com,+1-648-359-3008x6256,Cambodia,Geoscientist,Joyce-Guerrero,2024-12-13,3136,Laptop Intel Core i6,7
Eric,Lee,Andrea.Hawkins@yahoo.com,264-717-7424,Togo,Private music teacher,Anderson and Sons,2024-04-16,787,Laptop Intel Core i7,9
Toni,Powers,Megan.Best@hotmail.com,447.714.4327x49149,Poland,Trade mark attorney,Santiago-Wilkins,2025-04-11,2180,Laptop Intel Core i3,0
Jason,Hall,Victoria.Baker@gmail.com,744.839.8070,Sweden,Toxicologist,Peterson Inc,2023-11-23,5897,Laptop Intel Core i5,7
Brian,Figueroa,Dustin.Edwards@gmail.com,001-493-598-8747x16160,Greenland,Community development worker,"Scott, Glenn and Hughes",2025-08-22,9928,Laptop Intel Core i8,8
Jenna,Branch,Trevor.French@hotmail.com,215.226.4830x91486,Ireland,Health visitor,"Wallace, Young and Morgan",2024-04-16,2166,Laptop Intel Core i2,8
Alyssa,Brady,Deborah.Young@hotmail.com,001-850-350-9190x3560,Lithuania,Horticultural consultant,Pierce LLC,2024-09-22,8047,Laptop Intel Core i8,5
